시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,상세주소,정원,현원,위도,경도,데이터기준일자
용산구,11170000216,서울특별시교육청 직장어린이집,직장,정상,서울특별시 용산구 두텁바위로 37,60,0,37.5462358432906,126.97571598616425,2026-07-01
용산구,11170000215,데시앙아띠어린이집,국공립,정상,서울특별시 용산구 효창원로 227 106동 1층,25,24,37.54752995237479,126.96290569773326,2026-07-01
용산구,11170000213,원효루미니어린이집,국공립,정상,서울특별시 용산구 원효로97길 15 1층,32,31,37.54145907380427,126.96938101184236,2026-07-01
용산구,11170000153,서머힐어린이집,가정,정상,"서울특별시 용산구 장문로 27 상가동, 102호 (이태원동, 청화아파트)",20,19,37.52910835195778,126.9936735717406,2026-07-01
용산구,11170000210,삼각지어린이집,국공립,정상,"서울특별시 용산구 백범로99길 40 1,2층",48,48,37.53582388324484,126.97164618985347,2026-07-01
용산구,11170000209,큰나래어린이집,국공립,정상,"서울특별시 용산구 서빙고로 17 102동 1,2,3층",82,82,37.52525530284135,126.9678957636705,2026-07-01
용산구,11170000207,국립중앙박물관 해누림 어린이집,직장,정상,서울특별시 용산구 서빙고로 137 국립중앙박물관,39,16,37.5234949563665,126.97760123514485,2026-07-01
용산구,11170000208,목멱어린이집,국공립,정상,서울특별시 용산구 회나무로12나길 10,20,19,37.53904801482917,126.99092548482405,2026-07-01
용산구,11170000206,용산소방서직장어린이집,직장,정상,서울특별시 용산구 한강대로 167 용산소방서,18,15,37.53408944063891,126.971578961863,2026-07-01
용산구,11170000205,용산캐슬어린이집,국공립,정상,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",24,24,37.53981745015118,126.9630735859234,2026-07-01
용산구,11170000204,해늘어린이집,국공립,정상,"서울특별시 용산구 이촌로34길 29 이촌동, 현대한강아파트 관리동",31,30,37.5236368943,126.9566639649,2026-07-01
용산구,11170000203,동부이촌어린이집,국공립,정상,서울특별시 용산구 이촌로 193 관리동 1층,22,22,37.5215935377,126.9683936564,2026-07-01
용산구,11170000201,삼일어린이집,직장,정상,"서울특별시 용산구 한강대로 95 B동 4층 410호(한강로2가,래미안용산)",49,36,37.52954731337001,126.96739471952138,2026-07-01
용산구,11170000200,사랑꿈어린이집,국공립,정상,서울특별시 용산구 원효로 216 관리동 1층,21,19,37.5367226428,126.9665271675,2026-07-01
용산구,11170000199,사랑나무어린이집,가정,정상,서울특별시 용산구 후암로 4-8 후암동,20,10,37.546353570092634,126.97881652121346,2026-07-01
용산구,11170000198,맑은숲어린이집,국공립,정상,서울특별시 용산구 한남대로40길 76 맑은숲어린이집,90,88,37.5450381635,127.0032951499,2026-07-01
용산구,11170000197,아모레퍼시픽 서울어린이집,직장,정상,서울특별시 용산구 한강대로 100 (주)아모레퍼시픽 2층,94,74,37.5287908187,126.9686757151,2026-07-01
용산구,11170000195,꿈나무어린이집,국공립,정상,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,60,60,37.53839694143437,126.96579265701348,2026-07-01
용산구,11170000196,용문어린이집,국공립,정상,서울특별시 용산구 효창원로 88 브라운스톤용산 104-103,20,19,37.5364163,126.9591211,2026-07-01
용산구,11170000192,새순어린이집,국공립,정상,"서울특별시 용산구 원효로35길 37-7 1,2층",40,21,37.5348941342334,126.95519141061648,2026-07-01
용산구,11170000193,늘봄어린이집,국공립,정상,서울특별시 용산구 이촌로2가길 122 105동 106호,20,19,37.5250472,126.9551678,2026-07-01
용산구,11170000191,새둥지어린이집,가정,정상,서울특별시 용산구 이촌로65가길 3 110동 101호,20,17,37.5223116372,126.9719635243,2026-07-01
용산구,11170000190,푸른꿈어린이집,국공립,정상,"서울특별시 용산구 백범로 260 효창파크푸르지오아파트 104동, 1층",20,18,37.54023934237648,126.95833237770782,2026-07-01
용산구,11170000188,샘물어린이집,국공립,정상,서울특별시 용산구 원효로4가 원효로19길 49,62,57,37.53421027177274,126.9545941511218,2026-07-01
용산구,11170000187,순천향대학교서울병원어린이집,직장,정상,서울특별시 용산구 독서당로20길 9-5 1층,20,5,37.5316743,127.0048128,2026-07-01
용산구,11170000185,지구촌어린이집,국공립,정상,서울특별시 용산구 회나무로28길 13,55,34,37.539379673754325,126.99219724016912,2026-07-01
용산구,11170000184,더프라임어린이집,민간,정상,"서울특별시 용산구 원효로90길 11 (원효로1가, 용산더프라임)",39,32,37.54039598047992,126.96971637235517,2026-07-01
용산구,11170000122,푸른숲속어린이집,가정,정상,"서울특별시 용산구 효창원로 17 104동 103호(산천동, 리버힐삼성아파트)",20,19,37.53487888,126.9508027,2026-07-01
용산구,11170000164,노벨어린이집,가정,정상,서울특별시 용산구 후암로22길 10 104호(후암동),19,8,37.5513978116851,126.977294962797,2026-07-01
용산구,11170000182,숙명직장어린이집,직장,정상,서울특별시 용산구 청파로47길 100 사회교육관 1층(숙명여자대학교 제2캠퍼스),80,48,37.54547273221995,126.96507482960452,2026-07-01
용산구,11170000181,DB손해보험 아이사랑 어린이집,직장,정상,서울특별시 용산구 후암로 107 게이트웨이타워 3층,49,27,37.553461388771034,126.9735634051436,2026-07-01
용산구,11170000180,미래어린이집,국공립,정상,서울특별시 용산구 후암로16나길 13,67,47,37.54903665238563,126.97830878870784,2026-07-01
용산구,11170000175,고운꿈어린이집,가정,정상,"서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",19,19,37.5221536300623,126.97066188802754,2026-07-01
용산구,11170000171,초록어린이집,가정,정상,"서울특별시 용산구 이촌로 181 108동 103호(이촌동, 한강대우아파트)",20,20,37.52243120840031,126.97093779275336,2026-07-01
용산구,11170000167,IBK 참!좋은 어린이집,직장,정상,서울특별시 용산구 한남대로 72 4층,85,35,37.5350669793229,127.007056496912,2026-07-01
용산구,11170000163,생각이자라는어린이집,가정,정상,"서울특별시 용산구 이촌로 100-8 103동 102호 (이촌제2동, 동아그린아파트)",19,18,37.52425105445809,126.9582677393514,2026-07-01
용산구,11170000162,즐거운어린이집,가정,정상,서울특별시 용산구 이촌로 201 202동 101호(한가람아파트),20,19,37.52134980870069,126.9701554373006,2026-07-01
용산구,11170000159,꼬마성어린이집,가정,정상,"서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",20,20,37.52587113887813,126.99558232568027,2026-07-01
용산구,11170000158,행복한어린이집,민간,정상,서울특별시 용산구 원효로 216 신계동49 이편한테마트 1층 101호,32,30,37.53596195946334,126.96569476837742,2026-07-01
용산구,11170000049,청화어린이집,가정,정상,"서울특별시 용산구 보광로 14 A동 108호(보광동, 신동아1차아파트)",20,4,37.52574417,127.0017389,2026-07-01
용산구,11170000155,서빙고어린이집,국공립,정상,서울특별시 용산구 녹사평대로 66 대우푸르지오파크타운 208동앞,50,43,37.52519906,126.9947308,2026-07-01
용산구,11170000145,도원삼성어린이집,가정,정상,"서울특별시 용산구 새창로 70 112동 104호(도원동, 삼성래미안아파트)",20,15,37.5383072,126.9552593,2026-07-01
용산구,11170000140,용산구청직장어린이집,직장,정상,서울특별시 용산구 녹사평대로 150 종합행정타운 1층 (이태원동),73,47,37.53244208,126.9903466,2026-07-01
용산구,11170000141,맘앤키즈어린이집,가정,정상,"서울특별시 용산구 효창원로 17 107동 105호(산천동, 삼성리버힐아파트)",20,17,37.53487888,126.9508027,2026-07-01
용산구,11170000127,한강로어린이집,국공립,정상,서울특별시 용산구 서빙고로 35 111호~113호(용산시티파크1단지),58,54,37.52467325739871,126.96874305038246,2026-07-01
용산구,11170000128,국방부청사어린이집,직장,정상,서울특별시 용산구 이태원로 22 국방부 (용산동3가),220,137,37.53358278,126.9776714,2026-07-01
용산구,11170000126,예꿈어린이집,가정,정상,서울특별시 용산구 이촌로 347 1동 102호,19,18,37.5190384636,126.9896383594,2026-07-01
용산구,11170000124,늘해랑어린이집,가정,정상,"서울특별시 용산구 이촌로29길 21-7 103동 102호(한강로3가, 우림필유아파트)",20,19,37.52546826,126.9597476,2026-07-01
용산구,11170000119,아이제일어린이집,직장,정상,서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),45,20,37.53746496,126.9992936,2026-07-01
용산구,11170000118,하연어린이집,가정,정상,서울특별시 용산구 효창원로86라길 31-10 현대휴먼101호 (청파동1가),18,3,37.548094,126.9666963,2026-07-01
용산구,11170000112,누리터어린이집,가정,정상,"서울특별시 용산구 백범로90길 74 102동 102호(문배동, 용산이안아파트)",20,19,37.5367195,126.9685765,2026-07-01
용산구,11170000109,영주어린이집,민간,정상,서울특별시 용산구 두텁바위로 91 (후암동),72,48,37.54743044,126.9816898,2026-07-01
용산구,11170000038,한남어린이집,국공립,정상,서울특별시 용산구 대사관로5길 1 (한남동),55,43,37.53453304,127.0004722,2026-07-01
용산구,11170000091,완두콩어린이집,가정,정상,서울특별시 용산구 청파로71길 58 아이딜아파트 101호 (청파동1가),19,1,37.54942454,126.9669722,2026-07-01
용산구,11170000036,백송어린이집,국공립,정상,서울특별시 용산구 효창원로76길 25-6,79,52,37.54354693,126.9633574,2026-07-01
용산구,11170000007,소월어린이집,국공립,정상,서울특별시 용산구 신흥로18길 3-5,55,15,37.54613603,126.9858175,2026-07-01
용산구,11170000079,신태양 어린이집,민간,정상,서울특별시 용산구 만리재로 178 (서계동),39,25,37.55399714,126.9660274,2026-07-01
용산구,11170000080,새랑꿈이랑 어린이집,민간,정상,서울특별시 용산구 새창로 70 삼성래미안아파트 단지내 (도원동),117,42,37.5383072,126.9552593,2026-07-01
용산구,11170000100,효창방과후어린이집,법인?단체등,재개,서울특별시 용산구 효창원로 146-12,20,20,37.54123427,126.9629821,2026-07-01
용산구,11170000077,새꿈어린이집,국공립,정상,서울특별시 용산구 후암로57길 26 (동자동),45,41,37.55238518,126.9733573,2026-07-01
용산구,11170000073,새날어린이집,민간,정상,서울특별시 용산구 새창로8길 7 삼성래미안아파트 2단지내 관리동1층 (도원동),31,29,37.53910754817625,126.95548449024952,2026-07-01
용산구,11170000026,솔어린이집,국공립,정상,서울특별시 용산구 장문로 95 (보광동),52,24,37.52630015,127.0001453,2026-07-01
용산구,11170000069,반석어린이집,민간,정상,서울특별시 용산구 효창원로 178 (청파동3가),32,18,37.54361561,126.9626628,2026-07-01
용산구,11170000060,꿈밭어린이집,민간,정상,서울특별시 용산구 이촌로81길 34 꿈밭어린이집,60,38,37.52000465,126.9786745,2026-07-01
용산구,11170000054,꿈동이어린이집,가정,정상,"서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",20,18,37.52000465,126.9786745,2026-07-01
용산구,11170000063,효창어린이집,민간,정상,서울특별시 용산구 효창원로69길 14-3 (효창동),84,25,37.541564620744175,126.9606908669794,2026-07-01
용산구,11170000051,이태원삼성어린이집,민간,정상,서울특별시 용산구 이태원로27길 34-30,65,46,37.53532514,126.9953858,2026-07-01
용산구,11170000010,새싹어린이집,국공립,정상,서울특별시 용산구 원효로67길 13 (원효로2가),52,34,37.53756691,126.9638906,2026-07-01
용산구,11170000094,엘지유플러스어린이집,직장,정상,서울특별시 용산구 한강로3가 한강대로 32,39,18,37.52384284000428,126.9635283068631,2026-07-01
용산구,11170000008,용산교회어린이집,법인?단체등,정상,서울특별시 용산구 원효로1가 백범로77길 36,30,20,37.53982444,126.9655838,2026-07-01
용산구,11170000059,상록어린이집,민간,정상,서울특별시 용산구 백범로45길 4 (효창동),99,68,37.54095702,126.9583035,2026-07-01
용산구,11170000022,도원어린이집,국공립,정상,서울특별시 용산구 효창원로37마길 8 도원어린이집 (용문동),70,58,37.53825626,126.9585708,2026-07-01
용산구,11170000009,후암어린이집,국공립,정상,서울특별시 용산구 두텁바위로1길 86 (후암동),86,60,37.54765193,126.9758361,2026-07-01
용산구,11170000023,해방어린이집,국공립,정상,서울특별시 용산구 소월로20길 43 해방어린이집 (용산동2가),86,60,37.54428402,126.9851444,2026-07-01
용산구,11170000012,절제어린이집,사회복지법인,정상,서울특별시 용산구 후암로57길 57 (동자동),37,11,37.55092073,126.9741571,2026-07-01
용산구,11170000014,원효어린이집,국공립,정상,서울특별시 용산구 원효로41가길 14-19,89,18,37.53480088,126.9566433,2026-07-01
용산구,11170000011,청파어린이집,국공립,정상,서울특별시 용산구 청파로49길 19 (청파동2가),84,33,37.54528251,126.9690391,2026-07-01
용산구,11170000027,동빙고어린이집,국공립,정상,서울특별시 용산구 녹사평대로14길 7 (동빙고동),116,79,37.52357987,126.9939889,2026-07-01
용산구,11170000020,이촌어린이집,국공립,정상,서울특별시 용산구 이촌로14길 11-22,104,47,37.52707429558434,126.9544762958136,2026-07-01
용산구,11170000019,이태원어린이집,국공립,정상,서울특별시 용산구 녹사평대로40나길 38-3,54,36,37.53627931,126.9888363,2026-07-01
용산구,11170000005,서계어린이집,국공립,정상,서울특별시 용산구 청파로93길 25 서계어린이집,84,53,37.55352595,126.9682985,2026-07-01
용산구,11170000021,용산어린이집,국공립,정상,서울특별시 용산구 한강로2가 한강대로38길 28 용산어린이집,97,92,37.528142242670505,126.96922807094676,2026-07-01
